team1,team2,matchDate,isBagel,score,headStart,WinOrLose
31,33,2020-03-02T00:00:00.000Z,false,6:4,0,1
19,16,2020-03-02T00:00:00.000Z,false,7:5,0,1
16,22,2020-03-02T00:00:00.000Z,false,6:2,0,1
35,7,2020-03-02T00:00:00.000Z,false,7:6,0,1
19,34,2020-03-02T00:00:00.000Z,false,6:2,0,1
9,25,2020-02-26T00:00:00.000Z,false,6:4,0,1
28,5,2020-02-26T00:00:00.000Z,false,7:5,0,1
8,19,2020-02-26T00:00:00.000Z,false,6:3,0,1
0,28,2020-02-23T00:00:00.000Z,false,6:4,0,1
28,34,2020-02-23T00:00:00.000Z,false,6:3,-1,1
28,5,2020-02-23T00:00:00.000Z,false,7:5,0,1
28,10,2020-02-23T00:00:00.000Z,false,6:4,0,1
0,28,2020-02-20T00:00:00.000Z,false,6:1,0,1
25,9,2020-02-20T00:00:00.000Z,false,6:4,0,1
9,25,2020-02-20T00:00:00.000Z,false,6:4,0,1
19,7,2020-02-20T00:00:00.000Z,false,6:2,0,1
28,5,2020-02-20T00:00:00.000Z,false,6:4,0,1
19,34,2020-02-17T00:00:00.000Z,false,7:5,0,1
8,33,2020-02-17T00:00:00.000Z,false,7:5,0,1
28,5,2020-02-14T00:00:00.000Z,false,7:6,0,1
20,3,2020-02-13T00:00:00.000Z,true,6:1,0,1
25,20,2020-02-13T00:00:00.000Z,false,7:6,0,1
8,23,2020-02-10T00:00:00.000Z,false,6:4,0,1
23,5,2020-02-10T00:00:00.000Z,false,6:1,0,1
5,22,2020-02-10T00:00:00.000Z,false,6:1,0,1
19,8,2020-02-10T00:00:00.000Z,false,6:2,0,1
30,19,2020-02-10T00:00:00.000Z,true,6:2,0,1
21,33,2020-02-09T00:00:00.000Z,false,7:5,0,1
21,33,2020-02-09T00:00:00.000Z,false,7:6,0,1
21,33,2020-02-09T00:00:00.000Z,false,7:6,0,1
24,18,2020-02-05T00:00:00.000Z,false,6:3,0,1
26,4,2020-02-05T00:00:00.000Z,false,6:4,0,1
9,25,2020-02-05T00:00:00.000Z,false,6:4,0,1
37,19,2020-02-05T00:00:00.000Z,false,6:3,0,1
37,8,2020-02-05T00:00:00.000Z,false,7:6,0,1
22,1,2020-02-05T00:00:00.000Z,false,6:1,0,1
38,2,2020-01-28T00:00:00.000Z,false,6:3,0,0
34,25,2020-01-28T00:00:00.000Z,false,6:3,0,0
34,28,2020-01-28T00:00:00.000Z,false,6:2,0,0
23,27,2020-01-28T00:00:00.000Z,false,6:3,0,0
8,33,2020-01-28T00:00:00.000Z,false,6:3,0,0
3,6,2020-01-28T00:00:00.000Z,false,7:5,0,0
24,29,2020-01-26T00:00:00.000Z,false,6:3,-1,0
4,23,2020-01-26T00:00:00.000Z,false,7:5,0,0
32,19,2020-01-26T00:00:00.000Z,false,6:2,0,0
36,29,2020-01-26T00:00:00.000Z,false,6:3,0,0
34,28,2020-01-21T00:00:00.000Z,false,6:1,0,0
19,10,2020-01-21T00:00:00.000Z,false,6:3,0,0
34,25,2020-01-21T00:00:00.000Z,false,6:3,0,0
19,37,2020-01-21T00:00:00.000Z,false,7:6,0,0
19,37,2020-01-21T00:00:00.000Z,false,6:4,0,0
10,28,2020-01-21T00:00:00.000Z,false,6:4,0,0
1,38,2020-01-19T00:00:00.000Z,false,6:1,0,0
1,38,2020-01-19T00:00:00.000Z,false,6:3,0,0
38,11,2020-01-19T00:00:00.000Z,false,7:5,0,0
25,10,2020-01-14T00:00:00.000Z,false,7:5,0,0
15,22,2020-01-14T00:00:00.000Z,false,6:2,0,0
4,30,2020-01-14T00:00:00.000Z,false,6:4,-2,0
25,34,2020-01-14T00:00:00.000Z,false,7:5,0,0
35,13,2020-01-14T00:00:00.000Z,false,6:2,0,0
35,12,2020-01-14T00:00:00.000Z,false,6:4,-2,0
6,37,2020-01-08T00:00:00.000Z,false,6:4,0,0
8,25,2020-01-08T00:00:00.000Z,false,6:3,0,0
29,14,2020-01-08T00:00:00.000Z,false,6:2,0,0
25,6,2020-01-08T00:00:00.000Z,false,6:3,1,0
38,2,2020-01-08T00:00:00.000Z,false,6:2,0,0
33,8,2020-01-08T00:00:00.000Z,false,7:6,0,0
1,8,2020-01-01T00:00:00.000Z,false,6:4,-1,0
19,12,2020-01-01T00:00:00.000Z,false,6:3,0.15,0
19,17,2020-01-01T00:00:00.000Z,false,6:2,0.15,0
1,9,2020-01-01T00:00:00.000Z,false,7:6,-1.15,0
19,8,2020-01-01T00:00:00.000Z,false,7:5,0,0
